Wall time,Step,Value
1747705240.2542357,954368,179.2859649658203
1747705256.5644035,956416,180.60621643066406
1747705273.0466776,958464,184.93785095214844
1747705289.8780043,960512,181.26026916503906
1747705306.375798,962560,178.9589080810547
1747705322.6454775,964608,178.3501434326172
1747705339.4211004,966656,170.98464965820312
1747705355.7624059,968704,166.9059295654297
1747705372.5757008,970752,166.45144653320312
1747705388.7714148,972800,167.24688720703125
1747705404.9780393,974848,167.60928344726562
1747705421.307901,976896,166.60208129882812
1747705437.6766598,978944,167.70281982421875
1747705454.3250492,980992,166.15699768066406
1747705471.4058793,983040,165.99827575683594
1747705488.0485153,985088,170.1335906982422
1747705504.4961762,987136,169.36582946777344
1747705521.016739,989184,171.76243591308594
1747705538.2871172,991232,172.92892456054688
1747705554.7963166,993280,174.01878356933594
1747705571.111929,995328,177.8858642578125
1747705587.7529538,997376,179.1038055419922
1747705604.7515898,999424,176.80787658691406
1747705621.462126,1001472,182.4972686767578
1747705638.1201637,1003520,178.8292694091797
1747705666.1896827,1005568,182.73855590820312
1747705683.3328762,1007616,186.38690185546875
1747705700.4098191,1009664,186.24659729003906
1747705717.672121,1011712,183.13372802734375
1747705734.9296012,1013760,182.42286682128906
1747705751.7859113,1015808,180.96133422851562
1747705768.191419,1017856,177.33975219726562
1747705784.6212814,1019904,178.54397583007812
1747705801.3989832,1021952,177.69577026367188
1747705817.9123652,1024000,176.4564208984375
1747705834.7963371,1026048,172.59861755371094
1747705851.8875632,1028096,170.1839599609375
1747705868.760595,1030144,172.9000244140625
1747705885.6656272,1032192,171.08399963378906
1747705903.0729558,1034240,161.77000427246094
1747705920.2977738,1036288,158.04519653320312
1747705937.3381925,1038336,154.11553955078125
1747705954.3435366,1040384,154.45680236816406
1747705971.4062152,1042432,154.14505004882812
1747705988.5210092,1044480,155.88925170898438
1747706005.4111176,1046528,156.03652954101562
1747706022.8306253,1048576,157.1100311279297
1747706039.8966455,1050624,161.5961151123047
1747706056.6849122,1052672,164.00360107421875
1747706073.5582917,1054720,164.01416015625
1747706090.0897715,1056768,164.7865753173828
1747706106.5132446,1058816,162.1396484375
1747706122.9670157,1060864,169.0795440673828
1747706139.5887399,1062912,169.76934814453125
1747706155.9861557,1064960,172.13906860351562
1747706172.7890918,1067008,169.55831909179688
1747706189.9384778,1069056,170.25270080566406
1747706206.5593677,1071104,170.4854278564453
1747706223.3103337,1073152,179.21844482421875
1747706240.7358947,1075200,179.04733276367188
1747706257.733731,1077248,175.917724609375
1747706275.0398405,1079296,178.32937622070312
1747706292.1169186,1081344,177.33091735839844
1747706309.2639332,1083392,171.14962768554688
1747706326.2422125,1085440,171.5102996826172
1747706343.2996473,1087488,171.2481231689453
1747706360.6610315,1089536,163.81185913085938
1747706377.1241815,1091584,163.36099243164062
1747706393.5329523,1093632,163.1232147216797
1747706410.0334854,1095680,163.14306640625
1747706426.4526715,1097728,159.0525360107422
1747706443.0707715,1099776,161.880859375
1747706459.3258076,1101824,157.49632263183594
1747706475.7534723,1103872,156.40765380859375
1747706492.8723392,1105920,156.62303161621094
1747706509.8490071,1107968,153.9400177001953
1747706526.716082,1110016,153.72845458984375
1747706543.2981677,1112064,163.63192749023438
1747706559.4181845,1114112,166.2713623046875
1747706576.297465,1116160,166.13912963867188
1747706592.828615,1118208,165.92019653320312
1747706609.3824105,1120256,167.01242065429688
1747706626.1620233,1122304,173.5080108642578
1747706642.6677303,1124352,171.5243682861328
1747706658.9713914,1126400,173.35382080078125
1747706675.8357189,1128448,175.4978790283203
1747706692.471623,1130496,175.91836547851562
1747706709.1254358,1132544,175.19944763183594
1747706725.8167968,1134592,178.5517578125
1747706742.5230281,1136640,174.07424926757812
1747706759.0856988,1138688,177.3784942626953
1747706775.1686,1140736,177.27728271484375
1747706791.4193912,1142784,182.82716369628906
1747706807.79841,1144832,182.21429443359375
1747706823.8917778,1146880,187.41183471679688
1747706840.0305722,1148928,188.14828491210938
1747706856.2944007,1150976,186.73500061035156
1747706872.7153382,1153024,188.72059631347656
