rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates
30.000861009999998,111,100352,615.35,49,896,0.2,121.57392855882645,43.210853576660156,-0.006484264855680521,0.0003,-1.066824878565967,0.7252130508422852,0.04912109375,0.009636249,480
46.14656314285714,177,2048,271.7142857142857,1,11,0.2,67.5768663853407,22.233552932739258,-0.0031945688169798814,0.0003,-0.9122456202283502,0.8710941672325134,0.059375,0.0067002727,490
23.438256,159,4096,242.71428571428572,2,25,0.2,257.1347658753395,129.22410583496094,-0.002537120984925423,0.0003,-0.9023302547633648,0.7040320634841919,0.00771484375,0.0033243801,500
17.070899166666663,131,6144,250.625,3,46,0.2,170.32002845406532,9.322809219360352,-0.0041946724959416315,0.0003,-0.814397269114852,0.7326076030731201,0.031884765625,0.0043828795,510
30.97232657575757,122,8192,246.45454545454547,4,66,0.2,200.53149749040603,82.30548095703125,-0.006994952438981272,0.0003,-0.8810645112767815,0.8253320455551147,0.093310546875,0.011112637,520
28.198952317073175,112,10240,247.26829268292684,5,90,0.2,172.7960287630558,20.899049758911133,-0.005042614015110303,0.0003,-0.8506412968039513,0.82969069480896,0.078662109375,0.005230177,530
35.85452585416666,110,12288,255.60416666666666,6,110,0.2,191.13553117215633,37.004364013671875,-0.005799457739340141,0.0003,-0.827571789175272,0.7965248227119446,0.071533203125,0.01063179,540
37.637219611111114,102,14336,258.55555555555554,7,139,0.2,176.46547061800956,120.00790405273438,-0.0025479233852820473,0.0003,-0.741971273906529,0.7743686437606812,0.01533203125,0.0031471755,550
42.79009275,98,16384,272.6666666666667,8,166,0.2,146.47489413022996,33.10114669799805,-0.004200800908438396,0.0003,-0.8551194999366999,0.8260737657546997,0.076611328125,0.009429857,560
39.62312246969697,92,18432,277.1363636363636,9,199,0.2,237.4257224559784,68.39347839355469,-0.002207384948269464,0.0003,-0.7410369219258428,0.7132112383842468,0.043701171875,0.0051334365,570
42.93160956944445,89,20480,282.9861111111111,10,228,0.2,169.84658468961715,81.39611053466797,-0.006473855779040605,0.0003,-0.8736375333741307,0.771664023399353,0.07763671875,0.0062457304,580
45.62206194736842,90,22528,285.0,11,249,0.2,191.89994445443153,160.15724182128906,-0.00769045515335165,0.0003,-0.7756856441497803,0.7361413836479187,0.09599609375,0.009089848,590
49.954039308641974,90,24576,299.39506172839504,12,271,0.2,169.02620065510274,9.698983192443848,-0.002539361547678709,0.0003,-0.891028780117631,0.6906242370605469,0.0248046875,0.0057173795,600
53.44952923255814,91,26624,307.6511627906977,13,292,0.2,107.9663302898407,78.84291076660156,-0.0038963703031186015,0.0003,-0.8605740159749985,0.7766655087471008,0.098828125,0.013117059,610
-339.1079407272727,334,2048,172.8181818181818,1,6,,,,,0.0003,,,,,
-280.8688198518518,203,4096,149.25925925925927,2,20,0.2,1456.857421684265,686.51220703125,-0.008416650717845187,0.0003,-1.3816363390535116,-0.0003371238708496094,0.0263671875,0.0077148974,10
