rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range
-116.03581267567566,67584,33,332,202,896.0405405405405,0.0003,0.8552291393280029,0.046630859375,-0.007263693795539439,320,0.9441450238227844,0.006570288,1.1958673000335693,9.404116006381809,-5.04868828356266,0.2
-115.86582728947367,69632,34,347,200,905.4342105263158,0.0003,0.8560916185379028,0.037353515625,-0.004646152883651666,330,0.9450345039367676,0.0058777994,7.311033248901367,5.325112808216363,-5.049920170009136,0.2
-115.64332161038959,71680,35,365,196,914.4545454545455,0.0003,0.8598425388336182,0.0630859375,-0.004708895157091319,340,0.9523815512657166,0.0067265527,0.7528476119041443,4.248982981685549,-5.06071145683527,0.2
-115.62249463291137,73728,36,382,192,924.4177215189874,0.0003,0.8537578582763672,0.126904296875,-0.008835772634483874,350,0.557565450668335,0.011544226,0.14303627610206604,0.35557579786982385,-5.051253768801689,0.2
-116.36985188888889,75776,37,398,190,924.9753086419753,0.0003,0.8494411110877991,0.072705078125,-0.007489244913449511,360,0.9522971510887146,0.010206355,6.7132487297058105,5.275739832036197,-5.03191472440958,0.2
-116.52516377380954,77824,38,414,187,925.047619047619,0.0003,0.8501837253570557,0.051025390625,-0.00810726180789061,370,0.9293383359909058,0.006238465,1.8739427328109741,8.025551824457944,-5.023514071106911,0.2
-116.32107685882355,79872,39,429,185,932.9882352941177,0.0003,0.8509534001350403,0.055126953125,-0.008435905643273145,380,0.9540520906448364,0.00816948,3.769592046737671,8.634491145983338,-5.028545534610748,0.2
-115.95204003409093,81920,40,445,183,928.1590909090909,0.0003,0.8389817476272583,0.1544921875,-0.008843259201967157,390,-0.415942907333374,0.012500294,0.127789705991745,0.31635850390885023,-4.997451563179493,0.2
-116.46156251685395,83968,41,460,182,930.8651685393259,0.0003,0.8378288745880127,0.040185546875,-0.005577347139478661,400,0.9527352452278137,0.005657032,3.1954495906829834,4.870215397980064,-4.9685786932706835,0.2
-116.82953925274725,86016,42,475,180,942.2197802197802,0.0003,0.8371554613113403,0.053173828125,-0.005155999677663203,410,0.966097891330719,0.006519614,1.4643503427505493,4.211321915965527,-4.965050372481346,0.2
-116.44879116304347,88064,43,490,179,949.3695652173913,0.0003,0.8371086120605469,0.048779296875,-0.00629415916337166,420,0.9417915344238281,0.005545438,5.235841274261475,6.790039385296405,-4.9613658174872395,0.2
-116.43221981914893,90112,44,505,178,954.436170212766,0.0003,0.837106466293335,0.1224609375,-0.007374784034618642,430,0.6078721880912781,0.008301087,1.75754976272583,1.5627478898968548,-4.965800960361958,0.2
-116.25630831578947,92160,45,521,176,961.2315789473685,0.0003,0.8376444578170776,0.123046875,-0.009022792987525462,440,0.9472530484199524,0.013071758,0.463992178440094,3.541346814762801,-4.9613256886601445,0.2
-115.88981778350514,94208,46,544,173,965.0412371134021,0.0003,0.8269162178039551,0.146044921875,-0.009437898773467169,450,0.8467287421226501,0.0120501965,0.0742528885602951,0.16051997244358063,-4.933837631344796,0.2
-116.40336885858584,96256,47,559,172,963.9191919191919,0.0003,0.8299010992050171,0.106396484375,-0.005127332280972041,460,0.9464580416679382,0.010140596,1.012617826461792,1.7062918648123742,-4.922668015956878,0.2
-115.95356159999997,98304,48,574,170,970.28,0.0003,0.8272625803947449,0.010888671875,-0.00393967014097143,470,0.957372784614563,0.004445701,3.4465010166168213,8.02200130186975,-4.92328295558691,0.2
-115.40024793,100352,49,589,170,985.64,0.0003,0.8234785795211792,0.115966796875,-0.009747258902643807,480,-0.33567845821380615,0.011463031,0.31562790274620056,0.7928355515934526,-4.909721317887306,0.2
-115.12940206000002,102400,50,608,168,1000.41,0.0003,0.8301550149917603,0.202099609375,-0.014640517285442911,490,-0.07196760177612305,0.013594497,0.15743479132652283,0.3371308005647734,-4.915660677850246,0.2
-115.01491255,104448,51,626,166,1015.83,0.0003,0.8185179829597473,0.148828125,-0.013778161714435555,500,0.6474344730377197,0.013291009,0.0677306205034256,0.12072690182831139,-4.894060060381889,0.2
-114.60539135,106496,52,644,165,1015.83,0.0003,0.8056551218032837,0.1232421875,-0.01188316043408122,510,0.8995304107666016,0.010621054,0.03070691227912903,0.10119696623878553,-4.837357179820538,0.2
-114.46353086000003,108544,53,660,164,1036.44,0.0003,0.7869285345077515,0.09921875,-0.010749257940915413,520,0.5514266490936279,0.011366755,-0.0010847188532352448,0.1104666858445853,-4.7548737049102785,0.2
-114.03382793000003,110592,54,679,162,1039.24,0.0003,0.7852553129196167,0.08310546875,-0.005123752352665179,530,0.8317111134529114,0.009056216,0.07072144746780396,1.5970966923050582,-4.710106424987316,0.2
-113.59653411999997,112640,55,696,161,1068.68,0.0003,0.785754919052124,0.05029296875,-0.006573075195774436,540,0.9107339382171631,0.0069141584,0.10696029663085938,2.2434522076509893,-4.708445101976395,0.2
-113.07546322,114688,56,713,160,1083.94,0.0003,0.7758373022079468,0.137744140625,-0.012211706454399974,550,0.798917829990387,0.011481192,0.019715003669261932,0.08394499979913235,-4.680780148506164,0.2
-113.1551983,116736,57,729,159,1091.35,0.0003,0.764378547668457,0.14111328125,-0.012160125227819663,560,0.48311787843704224,0.009911948,0.055810458958148956,0.20529318617191167,-4.627842438220978,0.2
-112.51256761999998,118784,58,745,159,1106.78,0.0003,0.7637143135070801,0.029150390625,-0.0036184193566441538,570,0.8534874320030212,0.0045312266,0.5905321836471558,3.6970084350556136,-4.597183749079704,0.2
-112.22209322999998,120832,59,760,158,1106.78,0.0003,0.761021614074707,0.12041015625,-0.009296900371555238,580,0.2924386262893677,0.009120906,0.13639628887176514,0.23770660436712204,-4.589860284328461,0.2
-111.69935174999999,122880,60,776,158,1122.33,0.0003,0.7559425830841064,0.107177734375,-0.010710413797642104,590,0.704753041267395,0.009714067,0.0614461675286293,0.12853536289185286,-4.568995968997479,0.2
