rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate
190.51622805,339.85,363,1095680,535,3011,25.62053871154785,0.7497307658195496,-0.0020056888737599366,5340,0.2,82.55899955034256,0.005426946,0.04365234375,-0.44582628458738327,0.0003
193.68426807999995,337.79,363,1097728,536,3016,11.561935424804688,0.7407386302947998,-0.0020885465404717253,5350,0.2,162.4330358684063,0.0041980105,0.041650390625,-0.44535659085959195,0.0003
190.94962112999997,338.91,363,1099776,537,3022,31.49943733215332,0.6037087440490723,-0.0033532488101627677,5360,0.2,76.43553799986839,0.004080005,0.041259765625,-0.41010275287553666,0.0003
190.24605046,335.23,363,1101824,538,3027,6.396411418914795,0.6920900344848633,-0.0016139604529598727,5370,0.2,52.78125769048929,0.0040008817,0.079541015625,-0.5152085736393929,0.0003
191.54927834999998,331.58,364,1103872,539,3032,14.433808326721191,0.5017838478088379,-0.002219442807836458,5380,0.2,164.4534596800804,0.0041953907,0.0287109375,-0.3460800808854401,0.0003
190.58309143999998,333.19,364,1105920,540,3037,21.052610397338867,0.6703869104385376,-0.002235427861160133,5390,0.2,152.51955134272575,0.0030968948,0.044384765625,-0.44251694129779934,0.0003
185.17110881,336.31,364,1107968,541,3043,91.12266540527344,0.5148152112960815,0.0006611575110582635,5400,0.2,203.42447983026506,0.003681153,0.04169921875,-0.4322669642046094,0.0003
186.46890453000003,330.24,364,1110016,542,3047,3.1900246143341064,0.5927903652191162,-0.001033780531724915,5410,0.2,109.44172120839357,0.004767143,0.064697265625,-0.3980422966182232,0.0003
187.76182028,339.52,364,1112064,543,3052,35.778961181640625,0.6401961445808411,-0.0019186295510735362,5420,0.2,85.42193021774293,0.005496649,0.055712890625,-0.3642125562764704,0.0003
186.85272968,336.54,364,1114112,544,3057,19.814823150634766,0.5195630788803101,-0.0016439420345705003,5430,0.2,58.899398256838325,0.007816171,0.07939453125,-0.5605179362930357,0.0003
181.91187710000003,321.78,364,1116160,545,3062,25.460472106933594,0.49142056703567505,0.0009133521540206857,5440,0.2,129.61447004675864,0.010081368,0.06650390625,-0.4367939645424485,0.0003
186.52033206,315.82,364,1118208,546,3067,31.86540985107422,0.5221773982048035,-0.002273899974534288,5450,0.2,159.81165657937527,0.0047500897,0.0595703125,-0.4464173403568566,0.0003
188.70992005,324.84,364,1120256,547,3072,13.196560859680176,0.768107533454895,-0.003897339903051034,5460,0.2,44.43859485387802,0.007058311,0.065673828125,-0.4291376294568181,0.0003
186.67052331000002,314.98,364,1122304,548,3077,3.802752733230591,0.8368110060691833,-0.0015121652570087463,5470,0.2,22.67766556441784,0.027753064,0.076953125,-0.5779087453149259,0.0003
186.55177408,316.63,364,1124352,549,3082,36.6734504699707,0.5663829445838928,-0.0019763519521802664,5480,0.2,129.01396954655647,0.004209268,0.028466796875,-0.4396922355517745,0.0003
185.62380403,324.93,364,1126400,550,3087,11.088345527648926,0.48889732360839844,-0.0030620818986790256,5490,0.2,66.52200762629509,0.008747252,0.042041015625,-0.4069626840762794,0.0003
191.57803241,328.3,364,1128448,551,3092,12.561026573181152,0.6879901885986328,-0.0014324862655485048,5500,0.2,43.5979254513979,0.010650644,0.098095703125,-0.45218651965260503,0.0003
189.22344836000005,333.62,364,1130496,552,3098,21.979511260986328,0.4862341284751892,-0.00295180702523794,5510,0.2,206.65048176050186,0.004351901,0.03515625,-0.3729496762156487,0.0003
188.14051820999998,327.08,365,1132544,553,3102,9.723678588867188,0.7254899740219116,-0.0027653408935293554,5520,0.2,56.53627691268921,0.014562961,0.085595703125,-0.4527035515755415,0.0003
191.48757427,331.97,365,1134592,554,3107,26.774795532226562,0.5626398324966431,-0.002818730377475731,5530,0.2,126.7039704144001,0.0042817607,0.041259765625,-0.45820795791223645,0.0003
190.06494072,338.54,365,1136640,555,3111,19.00509262084961,0.6543817520141602,-0.003598875232273713,5540,0.2,43.2553150177002,0.019672155,0.14814453125,-0.4674198972992599,0.0003
191.55495562000004,347.13,365,1138688,556,3116,2.9478259086608887,0.8070322871208191,-3.427453339099884e-06,5550,0.2,16.244041499868036,0.009871351,0.083642578125,-0.6847964145243168,0.0003
195.86821990999997,343.86,365,1140736,557,3122,20.560649871826172,0.5208690762519836,-0.0007611090404679999,5560,0.2,104.62600266337395,0.0028493302,0.053564453125,-0.3911903340369463,0.0003
198.65599035999995,345.86,365,1142784,558,3126,76.64563751220703,0.29034096002578735,-0.002196535249822773,5570,0.2,180.99363247752188,0.0039057676,0.035791015625,-0.3897272040136158,0.0003
192.46602643999998,351.49,365,1144832,559,3132,5.616480350494385,0.7965051531791687,-0.0017896803561598062,5580,0.2,31.292380359768867,0.008203096,0.102978515625,-0.5426545766182244,0.0003
186.16916834,349.96,365,1146880,560,3137,5.36224365234375,0.6351721286773682,-0.003469853053684346,5590,0.2,91.39537414908409,0.011608335,0.0794921875,-0.5026527873240412,0.0003
187.1712896,356.37,365,1148928,561,3141,24.631126403808594,0.5703743100166321,-0.0021460472198668867,5600,0.2,108.31858890652657,0.0027996358,0.03564453125,-0.412292124517262,0.0003
190.55163328000003,352.98,365,1150976,562,3146,40.49300003051758,0.8343682289123535,0.0006134493174613454,5610,0.2,43.361937610805036,0.007716632,0.0900390625,-0.4891209540888667,0.0003
190.17352173999998,360.81,365,1153024,563,3151,12.26015853881836,0.7188720703125,-0.0008996592019684613,5620,0.2,76.25363519489765,0.0036102417,0.04091796875,-0.3681511619128287,0.0003
184.22572366,366.36,366,1155072,564,3155,9.361809730529785,0.7958581447601318,-0.0011274656979367137,5630,0.2,38.11152075529098,0.009870229,0.0705078125,-0.5572173171676695,0.0003
182.33085893999998,366.42,366,1157120,565,3160,12.391353607177734,0.48056846857070923,-0.003453777989489026,5640,0.2,126.71118899583817,0.0069656484,0.047705078125,-0.48996765492483974,0.0003
182.47101026999997,375.1,366,1159168,566,3164,52.25461196899414,0.5835700035095215,-0.0027217147973715326,5650,0.2,64.95637601912021,0.01442414,0.082568359375,-0.42548365257680415,0.0003
184.18714075000003,386.91,366,1161216,567,3169,6.795325756072998,-0.06436777114868164,-0.004009511531330645,5660,0.2,114.64522658884525,0.0046031484,0.04306640625,-0.5139530288986862,0.0003
185.71129023999998,378.08,366,1163264,568,3173,9.053592681884766,0.6719582676887512,-0.0017419018957298249,5670,0.2,25.526351715624333,0.00856808,0.0869140625,-0.5714285566471518,0.0003
179.72202854,375.98,366,1165312,569,3178,32.18704605102539,0.6294724941253662,-0.00021080767910461873,5680,0.2,98.75729766488075,0.0027119447,0.03759765625,-0.37312520015984774,0.0003
181.65980151000002,375.98,366,1167360,570,3182,6.167220115661621,0.7488700151443481,-0.0010159957644646056,5690,0.2,81.54290761947632,0.008292526,0.085205078125,-0.5154822611249983,0.0003
181.68608632999997,383.61,366,1169408,571,3187,8.052074432373047,0.5703529119491577,-0.005083794974780176,5700,0.2,65.01197473704815,0.00786631,0.057958984375,-0.4263605336658657,0.0003
182.33992084,391.57,366,1171456,572,3191,3.712414264678955,0.7171961665153503,-0.0009205655340338125,5710,0.2,44.4946475058794,0.008431432,0.04921875,-0.46840876154601574,0.0003
177.69767716999996,403.91,367,1173504,573,3196,6.9861907958984375,0.765354335308075,-0.0015067391126649455,5720,0.2,61.22651596590877,0.008916465,0.067724609375,-0.5558191826567054,0.0003
178.79379425999997,385.41,367,1175552,574,3201,15.62997055053711,0.8151566386222839,-0.002848788694245741,5730,0.2,35.01360624730587,0.010352032,0.101123046875,-0.4742820916697383,0.0003
177.69604708999998,382.76,367,1177600,575,3205,16.11215591430664,0.7171705365180969,-0.002314637938980013,5740,0.2,99.37308987379075,0.003882032,0.04248046875,-0.4129022889770567,0.0003
176.47371417000002,380.75,367,1179648,576,3210,65.71574401855469,0.5277414917945862,-0.003857039753347635,5750,0.2,141.6579373419285,0.005131903,0.0455078125,-0.4213137520477176,0.0003
178.70916738999998,374.44,367,1181696,577,3214,5.3628082275390625,0.5655148029327393,-0.0028010789741529153,5760,0.2,111.94568721950054,0.0064973934,0.059912109375,-0.4901677729561925,0.0003
185.87954882000005,379.17,367,1183744,578,3219,4.837594509124756,0.8525660634040833,0.0017774655716493726,5770,0.2,30.58141266554594,0.0072027366,0.06767578125,-0.535531182680279,0.0003
189.53192801999998,371.91,367,1185792,579,3223,8.638566017150879,0.6973129510879517,-0.0043512693271622995,5780,0.2,85.71233577430249,0.004030131,0.059033203125,-0.4395438298583031,0.0003
193.65308482,378.16,367,1187840,580,3227,5.964942932128906,0.8174773454666138,-0.0007990295038325712,5790,0.2,37.7726116091013,0.007786773,0.06923828125,-0.3964420581236482,0.0003
191.33727927999996,376.53,368,1189888,581,3232,50.86479568481445,0.8141790628433228,-0.0032646882551489397,5800,0.2,51.24285125434399,0.0040508998,0.064404296875,-0.3899075361900032,0.0003
192.08204738,389.81,368,1191936,582,3237,6.191283226013184,0.4571540355682373,-0.0023520173912402243,5810,0.2,105.47522844523192,0.006676987,0.055029296875,-0.5523272805847228,0.0003
195.82053345,386.44,368,1193984,583,3241,1.3905549049377441,0.78321373462677,0.00028383016906445845,5820,0.2,32.02634557038546,0.013095035,0.103857421875,-0.45170917324721815,0.0003
192.02905180000002,377.97,368,1196032,584,3246,11.465556144714355,0.6820945143699646,-0.003495164486230351,5830,0.2,48.1942243039608,0.008934429,0.094580078125,-0.41679206378757955,0.0003
192.33044734000003,393.79,368,1198080,585,3250,57.944400787353516,0.6498795747756958,-0.0031629686011001466,5840,0.2,94.66957381665706,0.006159026,0.0634765625,-0.448662877175957,0.0003
193.36012362000002,393.41,368,1200128,586,3255,1.3688383102416992,0.7954351902008057,0.0009302085498347878,5850,0.2,26.019447350874543,0.006273999,0.07421875,-0.5530000039376318,0.0003
195.3487773,399.62,368,1202176,587,3259,16.220396041870117,0.877379298210144,-0.005300398546387442,5860,0.2,19.463919606804847,0.006501634,0.10107421875,-0.5022142824716866,0.0003
190.77139128000002,406.06,368,1204224,588,3264,5.897096157073975,0.8454463481903076,-0.0023777394264470784,5870,0.2,26.57696101516485,0.008097032,0.0798828125,-0.4971159159205854,0.0003
190.59505075999996,411.59,369,1206272,589,3268,6.210824489593506,0.4355729818344116,-0.0013824277222738602,5880,0.2,88.9957159548998,0.0042828955,0.04658203125,-0.5150983386673034,0.0003
192.48633772999995,403.75,369,1208320,590,3273,2.523421049118042,0.6705492734909058,-0.001386186046875082,5890,0.2,44.69377879276872,0.00607471,0.065380859375,-0.5170462834648788,0.0003
190.34512524000002,394.93,369,1210368,591,3277,50.22760772705078,0.5399802923202515,-0.0009006855951156467,5900,0.2,201.46841856837273,0.002686533,0.025537109375,-0.37707986440509556,0.0003
194.75690322999998,385.42,369,1212416,592,3282,15.115142822265625,0.6906202435493469,-0.0030248255148762836,5910,0.2,130.8583779156208,0.004571887,0.0361328125,-0.39996734596788885,0.0003
199.03722143,386.99,369,1214464,593,3286,11.315524101257324,0.7305236458778381,-0.0019274728809250518,5920,0.2,42.959241807460785,0.0039963285,0.0478515625,-0.3689675873145461,0.0003
198.71604870999997,394.35,369,1216512,594,3291,5.474908351898193,0.7967562675476074,0.0009662789787398651,5930,0.2,32.23230249881745,0.0049332753,0.030615234375,-0.4654852387495339,0.0003
199.30295312,390.08,369,1218560,595,3295,95.52622985839844,0.6385176777839661,-0.00025010556564666333,5940,0.2,101.16640355288982,0.003401899,0.04267578125,-0.3753047418780625,0.0003
198.13056024999997,391.89,369,1220608,596,3300,42.213462829589844,0.6524960994720459,-0.0018283786179381424,5950,0.2,69.44993423223495,0.007097115,0.033837890625,-0.3464026421774179,0.0003
197.16872929999997,391.47,369,1222656,597,3304,9.847256660461426,0.7847375273704529,-0.0016190964641282334,5960,0.2,44.82862259149552,0.006198047,0.05673828125,-0.42961751027032735,0.0003
195.59859792999998,391.13,370,1224704,598,3309,12.039562225341797,0.7321738004684448,0.00045253584685269745,5970,0.2,56.97566560804844,0.004104334,0.057177734375,-0.44175579892471434,0.0003
192.74186236999998,376.3,370,1226752,599,3313,5.899372100830078,0.8896148204803467,-0.0008492384309647605,5980,0.2,26.899951374530794,0.0062704463,0.054541015625,-0.3780845690518618,0.0003
184.50784333000004,367.28,370,1228800,600,3318,10.13373851776123,0.7548636198043823,-0.0028779123327694832,5990,0.2,76.599381300807,0.0041975956,0.060302734375,-0.36792976101860403,0.0003
184.94642003,356.03,370,1230848,601,3322,160.6887664794922,0.39976733922958374,-0.0032166235861950552,6000,0.2,211.02824221253394,0.008239252,0.115478515625,-0.47695119166746736,0.0003
190.51842623000002,358.07,370,1232896,602,3327,12.019845962524414,0.8036653399467468,-0.0031471294263610617,6010,0.2,57.62387416958809,0.003934366,0.053271484375,-0.3755042272619903,0.0003
192.63170626,339.68,370,1234944,603,3331,3.5888149738311768,0.9672442078590393,0.0007397885914542712,6020,0.2,16.829417868703604,0.007915647,0.069775390625,-0.4080885616131127,0.0003
188.51968721999998,344.28,370,1236992,604,3336,9.570794105529785,0.8213990330696106,-0.0020238558849086986,6030,0.2,37.55322972536087,0.003978475,0.051953125,-0.36693578129634263,0.0003
194.05943852000001,322.29,370,1239040,605,3341,7.306029796600342,0.9629734754562378,0.0014617447348427958,6040,0.2,23.768030229210854,0.0040035723,0.069580078125,-0.49547542054206134,0.0003
195.88526053,329.82,370,1241088,606,3345,11.67843246459961,0.8395761847496033,-0.0013904384759371169,6050,0.2,52.23152777254582,0.003260179,0.031201171875,-0.3804292194545269,0.0003
196.00982611,339.42,371,1243136,607,3350,12.128291130065918,0.6212682127952576,-0.001000516742351465,6060,0.2,93.97308720350266,0.010855112,0.06396484375,-0.515322418231517,0.0003
198.95309358000003,334.94,371,1245184,608,3354,9.056131362915039,0.7710543870925903,-0.0025738511787494643,6070,0.2,41.1935060068965,0.009598879,0.161083984375,-0.4223944192752242,0.0003
