rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/learning_rate,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
-101.19111023,137216,346,396,67,1123.26,-4.04777452647686,2.294216681085527,0.26526713371276855,0.0003,0.6651482582092285,0.2,0.01042464,-0.0061826071556424726,660,0.598771870136261,0.088427734375
-101.12636044000001,139264,351,396,68,1108.0,-4.027975629270077,11.394919512420893,3.950378894805908,0.0003,0.6626688838005066,0.2,0.0065976596,-0.005953488530940377,670,0.8398389220237732,0.040087890625
-100.36912984,141312,356,396,69,1080.16,-3.99355875402689,2.1238933274522425,0.447306364774704,0.0003,0.6511621475219727,0.2,0.011742655,-0.006437260581878945,680,0.9506072998046875,0.127294921875
-100.35232348000001,143360,362,395,70,1080.16,-3.9558995299041273,11.601174134388566,7.060202121734619,0.0003,0.6534706354141235,0.2,0.006551861,-0.005579014369868673,690,0.9614312648773193,0.045556640625
-99.65213817999998,145408,368,395,71,1065.65,-3.984203152358532,1.5494920548982918,1.4998551607131958,0.0003,0.6574089527130127,0.2,0.014669547,-0.006381617725128308,700,-2.431644916534424,0.203271484375
-99.55026724,147456,373,394,72,1065.65,-3.989958903193474,21.446686507761477,14.589905738830566,0.0003,0.657051682472229,0.2,0.007153224,-0.006538832050864585,710,0.8281050324440002,0.0541015625
-99.9860281,149504,379,394,73,1043.74,-3.954301866143942,0.07384392995736562,-0.008186746388673782,0.0003,0.6474757790565491,0.2,0.015910782,-0.011701736197574064,720,0.1972537636756897,0.1916015625
-99.73805652999998,151552,384,393,74,1042.51,-3.9300047285854816,17.19549395814538,3.4906680583953857,0.0003,0.64750736951828,0.2,0.0053647887,-0.004737446090439334,730,0.7882974743843079,0.043994140625
-99.53393686999998,153600,390,393,75,1035.81,-3.9253943406045435,5.392096125148237,0.648456335067749,0.0003,0.6449908018112183,0.2,0.0075123473,-0.0055483408621512355,740,0.8676268458366394,0.03935546875
-99.72687761999998,155648,396,392,76,1035.81,-3.9113179363310335,3.5037173429504036,0.45395827293395996,0.0003,0.6438677310943604,0.2,0.0062876875,-0.008976098234415985,750,0.9512711763381958,0.049853515625
-99.58609525999998,157696,404,389,77,1035.81,-3.866761591285467,0.06235720519325696,0.03149700164794922,0.0003,0.6333541870117188,0.2,0.015106038,-0.00924468514858745,760,0.7850328683853149,0.210205078125
-99.05533648999999,159744,411,387,78,1014.49,-3.787152285128832,0.05911672645597719,0.03650938719511032,0.0003,0.6176962852478027,0.2,0.013601331,-0.012523533692001366,770,0.8105500936508179,0.15107421875
-97.88910683999997,161792,417,387,79,1012.96,-3.745768854767084,3.331788056064397,1.0574935674667358,0.0003,0.6187233328819275,0.2,0.0072333207,-0.006761859837570228,780,0.9560359120368958,0.06162109375
-96.61754192999997,163840,422,387,80,1008.56,-3.7575904458761213,3.1582028729841114,2.2258474826812744,0.0003,0.6209250688552856,0.2,0.0104335295,-0.009790121068363078,790,0.952126681804657,0.088916015625
-96.17379955999996,165888,430,385,81,988.62,-3.761160662025213,9.548011386021972,1.7004411220550537,0.0003,0.6195361614227295,0.2,0.008912247,-0.00633246118813986,800,0.8886372447013855,0.097216796875
-96.35144138999998,167936,440,381,82,971.58,-3.7566502526402474,22.046268853917717,3.6946256160736084,0.0003,0.6198920011520386,0.2,0.0071203206,-0.005857110841316171,810,0.876963198184967,0.0634765625
-96.24681608999998,169984,451,376,83,971.58,-3.7547500520944594,14.076192251592875,9.992620468139648,0.0003,0.6189262270927429,0.2,0.0073632156,-0.005665027943905443,820,0.9295649528503418,0.03857421875
-95.04077525999998,172032,462,371,84,973.82,-3.7352271296083925,4.373933205474168,2.5705504417419434,0.0003,0.6140201687812805,0.2,0.014983023,-0.01001374387560645,830,-1.0372869968414307,0.171826171875
-94.58987339999997,174080,476,365,85,983.73,-3.715284062922001,12.842597295343875,1.222955346107483,0.0003,0.6141859889030457,0.2,0.012439718,-0.010061760077951476,840,0.8730573654174805,0.1248046875
-94.55583672999997,176128,488,360,86,980.25,-3.716699527949095,3.4159118359908462,1.1937402486801147,0.0003,0.6143866777420044,0.2,0.011458752,-0.0046712635870790106,850,0.9695268273353577,0.118798828125
-94.52828499000002,178176,501,355,87,950.93,-3.7297324568033217,2.6512387321330606,0.5004193186759949,0.0003,0.6182312369346619,0.2,0.01186397,-0.007783905690303072,860,0.9459795951843262,0.153076171875
-94.82142313,180224,514,350,88,950.1,-3.7509993888437747,17.932225915789605,9.121554374694824,0.0003,0.6208956241607666,0.2,0.011304265,-0.010376690258271992,870,0.9485251307487488,0.080810546875
-94.27494675,182272,527,345,89,972.27,-3.7578379467129706,7.031681520491839,3.842097043991089,0.0003,0.620069146156311,0.2,0.008854056,-0.00808659439207986,880,0.9182179570198059,0.10859375
-93.47271138999999,184320,540,340,90,972.27,-3.7410433374345304,0.08741917887236923,0.07634380459785461,0.0003,0.6163381934165955,0.2,0.011946965,-0.005642241882742383,890,0.5254133939743042,0.1765625
-93.25370094,186368,555,335,91,972.27,-3.717992723733187,0.9888578530400991,0.46815794706344604,0.0003,0.6120744347572327,0.2,0.013053196,-0.008261494655744172,900,0.6541488170623779,0.13525390625
-92.30900062,188416,569,331,92,976.96,-3.6826395355165005,0.5592408689670265,0.26673659682273865,0.0003,0.6065785884857178,0.2,0.011574618,-0.006788304224028252,910,0.6984726190567017,0.15224609375
-93.13797079000001,190464,582,326,93,963.7,-3.665094415098429,16.83910181839019,3.602205514907837,0.0003,0.6057413816452026,0.2,0.0064085242,-0.0055134389651357195,920,0.9095108509063721,0.04794921875
-93.04511250000002,192512,596,322,94,963.7,-3.658921578526497,6.332835344225169,1.5594388246536255,0.0003,0.6040005683898926,0.2,0.009292651,-0.01138905491825426,930,0.9674418568611145,0.0833984375
-93.40295568999998,194560,609,319,95,953.37,-3.6145083114504812,0.19925636496627702,0.01777033880352974,0.0003,0.5939719676971436,0.2,0.014302248,-0.006340146620641462,940,0.08856171369552612,0.187255859375
-93.13932403999999,196608,624,315,96,964.78,-3.574228565394878,4.72999460157007,1.7647161483764648,0.0003,0.591328501701355,0.2,0.0066027944,-0.006320487943594344,950,0.9717422723770142,0.072412109375
-93.32954746999998,198656,639,310,97,964.78,-3.5169692993164063,0.13111091168830172,0.029167722910642624,0.0003,0.5794479250907898,0.2,0.012796058,-0.007716453839384485,960,0.8680533766746521,0.166552734375
-93.12181385999999,200704,656,305,98,955.13,-3.462746597826481,0.4403501311317086,0.14087054133415222,0.0003,0.5731787085533142,0.2,0.011470532,-0.008742964552948252,970,0.7771329283714294,0.132177734375
