time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/std,train/learning_rate,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss
4356,628736,190.05508079999998,869.31,307,144,0.017509636,0.2369140625,0.37839722633361816,0.0003,3060,0.2,-0.009221586884814314,14.901067027449608,0.8979868292808533,-1.6377660483121872,6.707888603210449
4374,630784,194.04342115,879.12,308,144,0.016415738,0.183154296875,0.3798234462738037,0.0003,3070,0.2,-0.008135598714579828,25.38241090066731,0.8798801302909851,-1.6607268754392863,11.548537254333496
4391,632832,194.06273663999997,879.28,309,144,0.022830792,0.28505859375,0.37615495920181274,0.0003,3080,0.2,-0.004917900908912998,6.043120160512626,0.11763274669647217,-1.6438728772103786,5.53633451461792
4408,634880,198.5850662,887.93,310,144,0.011115256,0.204443359375,0.37495946884155273,0.0003,3090,0.2,-0.002703270548954606,18.273894290439785,0.6742565631866455,-1.6177049323916435,9.696176528930664
4426,636928,202.55316322000002,897.53,311,143,0.023562483,0.292919921875,0.37629207968711853,0.0003,3100,0.2,-0.007313441528822295,17.280574229359626,0.474090576171875,-1.6153719544410705,9.034605026245117
4443,638976,202.56318076000002,898.06,312,143,0.027331594,0.29765625,0.374448299407959,0.0003,3110,0.2,-0.009984528084169142,5.911013712640852,0.055769503116607666,-1.6061556790024043,0.5289583206176758
4460,641024,203.17040465000005,900.64,313,143,0.029633189,0.33076171875,0.37427443265914917,0.0003,3120,0.2,-0.0067063743568724025,2.8090393877821045,0.27131837606430054,-1.5950136054307222,1.5363028049468994
4478,643072,207.14973538,910.24,314,143,0.012384191,0.11572265625,0.3740346431732178,0.0003,3130,0.2,-0.007428673293907196,12.318194510787725,0.8715004920959473,-1.5952872853726148,0.9144935011863708
4495,645120,206.03829342000006,909.12,315,143,0.026773447,0.302392578125,0.3740493655204773,0.0003,3140,0.2,-0.008320070100307931,6.142473588511348,-0.13678443431854248,-1.5946782976388931,2.158754348754883
4512,647168,206.15835343000003,909.4,316,143,0.015119951,0.17294921875,0.3738349974155426,0.0003,3150,0.2,-0.008368942799279466,7.796188284642994,0.8934791684150696,-1.5944206658750772,1.1878037452697754
4529,649216,208.78864894000003,915.59,317,143,0.02438567,0.221923828125,0.3728044927120209,0.0003,3160,0.2,-0.012022997351596131,8.224564334750175,0.8160810470581055,-1.588912720233202,2.8591384887695312
4547,651264,210.62152739,917.01,318,143,0.022756198,0.223486328125,0.3727712035179138,0.0003,3170,0.2,-0.008212752203689888,11.297018019203097,0.9133013486862183,-1.58527945689857,1.574276089668274
4564,653312,215.82511269999998,930.85,319,143,0.019257303,0.193798828125,0.3751653730869293,0.0003,3180,0.2,-0.01470155258430168,9.336905085295438,0.9347521066665649,-1.5954572584480047,2.597001791000366
4582,655360,216.63392831,932.28,320,143,0.031043865,0.26181640625,0.3757176995277405,0.0003,3190,0.2,-0.006281135242898017,11.807623863592744,0.9048476219177246,-1.6143875654786826,0.6333210468292236
4599,657408,216.69040315000007,931.82,321,142,0.017951788,0.21953125,0.37580257654190063,0.0003,3200,0.2,-0.003765412807115354,26.158984179235993,0.9163655042648315,-1.6250549282878637,4.715975761413574
4616,659456,202.40915038,898.42,322,142,0.03324902,0.336865234375,0.37414824962615967,0.0003,3210,0.2,-0.0058718105545267464,7.329407803341747,-0.20854461193084717,-1.6198530584573745,0.4384258985519409
4634,661504,208.14069834000003,914.51,323,142,0.011170827,0.10185546875,0.37446022033691406,0.0003,3220,0.2,-0.010538656639982946,34.79738877862692,0.9455389380455017,-1.6123560130596162,7.386840343475342
4651,663552,205.10837015999996,909.24,324,142,0.021536382,0.330419921875,0.37392735481262207,0.0003,3230,0.2,-0.009680458987713792,16.38530916981399,0.9413266181945801,-1.609456990286708,0.8782040476799011
4668,665600,209.11702956000002,919.76,325,142,0.02488407,0.264404296875,0.37313321232795715,0.0003,3240,0.2,-0.0075914683460723605,19.630366371572016,0.9604704976081848,-1.6036236878484487,16.520347595214844
4686,667648,209.22432937000002,919.12,326,142,0.026292963,0.354345703125,0.3721786141395569,0.0003,3250,0.2,-0.0025219861548976042,8.490571813471615,-0.1337679624557495,-1.5987240303307773,5.857438087463379
4704,669696,209.32020039000005,917.56,327,142,0.019609014,0.2703125,0.3731837272644043,0.0003,3260,0.2,-0.008302646316587925,20.92631065994501,0.912569522857666,-1.597201580554247,4.72365140914917
4721,671744,200.04670628999992,891.24,328,142,0.029046923,0.294189453125,0.3734568655490875,0.0003,3270,0.2,-0.001567799662007019,5.698519129864872,0.1415298581123352,-1.6088750690221787,7.664058208465576
4739,673792,200.11243126999997,889.71,329,142,0.009863053,0.16611328125,0.3729788064956665,0.0003,3280,0.2,-0.009550624567782506,46.46589355170727,0.9299518465995789,-1.6006826549768447,40.44075393676758
4756,675840,201.41372393000006,891.3,330,142,0.029423904,0.3435546875,0.36899325251579285,0.0003,3290,0.2,-0.003589686783379875,6.063837461732328,-0.43245017528533936,-1.5808429583907126,1.2947981357574463
4773,677888,201.48049290000003,889.04,331,142,0.023207964,0.304833984375,0.3708353042602539,0.0003,3300,0.2,-0.007133783417521045,26.519713756628335,0.8777865171432495,-1.5694843787699937,21.859939575195312
4791,679936,197.39069977,878.2,332,141,0.022415841,0.313671875,0.3689213693141937,0.0003,3310,0.2,-0.011020184730296024,4.658529570326209,0.24722427129745483,-1.5772055998444556,1.1974551677703857
4808,681984,195.14745304000004,872.22,333,141,0.017331736,0.240625,0.370702862739563,0.0003,3320,0.2,-0.009062195365549997,7.314294270053506,0.9318034052848816,-1.581842440366745,1.3535566329956055
4825,684032,196.7117414,872.92,334,141,0.027448032,0.274755859375,0.37391453981399536,0.0003,3330,0.2,-0.004539630122599192,21.77326023466885,0.9171470403671265,-1.6158264145255088,0.6639811992645264
4842,686080,200.76461985999998,881.72,335,141,0.022337884,0.25625,0.3720030188560486,0.0003,3340,0.2,-0.0047008851382997815,19.141532644815744,0.30720680952072144,-1.625176290795207,1.7834293842315674
4859,688128,191.2938289,862.3,336,141,0.038290896,0.31181640625,0.371677964925766,0.0003,3350,0.2,-0.003798688075039536,6.651804628502577,-0.5377249717712402,-1.6147154700011015,0.40166887640953064
4878,690176,184.56578283000002,843.17,337,141,0.009415416,0.155029296875,0.37155255675315857,0.0003,3360,0.2,-0.008188773685833439,38.43872366771102,0.8793032765388489,-1.616610449925065,10.739337921142578
4895,692224,184.58275308,841.15,338,141,0.019780912,0.2029296875,0.37490296363830566,0.0003,3370,0.2,-0.008514094509882853,20.794244665279983,0.9357521533966064,-1.6304166320711375,35.49916076660156
4913,694272,176.61136815,823.56,339,141,0.025916755,0.2787109375,0.37445953488349915,0.0003,3380,0.2,-0.005830337310908362,8.040996512770652,0.3241060972213745,-1.6505753897130488,4.08561897277832
4930,696320,174.63823448000002,819.0,340,141,0.013908656,0.1470703125,0.3731105327606201,0.0003,3390,0.2,-0.010944486100925133,35.228241520375015,0.9256497621536255,-1.6342129737138749,18.954164505004883
4947,698368,174.60721992000003,817.98,341,141,0.032883003,0.3064453125,0.371889591217041,0.0003,3400,0.2,-0.00506085196393542,25.078941741213203,0.8927383422851562,-1.6236039150506258,24.74153709411621
4965,700416,174.97484530000003,818.05,342,141,0.02798047,0.328076171875,0.37156903743743896,0.0003,3410,0.2,-0.008443396260554436,5.8742728042416275,0.07094347476959229,-1.6207253634929657,15.11148452758789
4983,702464,175.78465050000003,820.07,343,140,0.010073381,0.127978515625,0.3719847798347473,0.0003,3420,0.2,-0.009766118699917569,37.28210807442665,0.9368961453437805,-1.6130819886922836,9.18253231048584
5000,704512,162.29835704000004,788.28,344,140,0.018474365,0.21728515625,0.37049102783203125,0.0003,3430,0.2,-0.006389197456883267,59.960812251269815,0.7738217115402222,-1.6094946652650832,33.85071563720703
5017,706560,159.64198797,778.74,345,140,0.013333414,0.166357421875,0.36911264061927795,0.0003,3440,0.2,-0.010913211270235479,60.95826605707407,0.9271645545959473,-1.5902774773538113,10.803667068481445
5034,708608,159.60705708,777.56,346,140,0.038703963,0.244287109375,0.37281784415245056,0.0003,3450,0.2,-0.005501002111122944,13.247500152233988,0.939347505569458,-1.595757218450308,3.8965466022491455
5051,710656,157.29912402,771.57,347,140,0.04454117,0.4658203125,0.37281978130340576,0.0003,3460,0.2,-0.002865776368707884,4.543839011155069,0.03296726942062378,-1.6279230069369077,0.7559003233909607
5068,712704,154.63182946,766.06,348,140,0.021720668,0.280908203125,0.37361758947372437,0.0003,3470,0.2,-0.003028945063124411,30.06069529056549,0.8678496479988098,-1.6302599854767323,30.184246063232422
5085,714752,148.03795429000002,753.31,349,140,0.026995644,0.3193359375,0.3728025555610657,0.0003,3480,0.2,-0.0027111640316434204,20.719183326512574,0.8631594181060791,-1.628530554100871,9.009950637817383
5103,716800,150.89023487000003,758.34,350,140,0.02217231,0.237646484375,0.37288764119148254,0.0003,3490,0.2,-0.013426266956957988,42.82278024479747,0.9072271585464478,-1.6264572724699975,18.111183166503906
5120,718848,145.19479174,745.63,351,140,0.026249327,0.24287109375,0.37211185693740845,0.0003,3500,0.2,-0.00540654624637682,37.47194772362709,0.8460525274276733,-1.6192440830171109,4.646335124969482
5137,720896,146.429143,745.06,352,140,0.018828375,0.231884765625,0.3716924786567688,0.0003,3510,0.2,-0.00841131608467549,23.072730668634176,0.9193247556686401,-1.610554689541459,2.1553385257720947
5154,722944,149.60386577,752.98,353,140,0.033846542,0.3646484375,0.37242692708969116,0.0003,3520,0.2,-0.0057622489970526655,5.514975785277784,-0.002795100212097168,-1.6212387178093195,0.6386579871177673
5171,724992,146.04373504,745.45,354,140,0.02623742,0.289208984375,0.37139564752578735,0.0003,3530,0.2,-0.008034463992225937,35.15187532119453,0.7938887476921082,-1.6188393015414477,9.052092552185059
5188,727040,149.88693778,755.64,355,140,0.01980413,0.2341796875,0.36963868141174316,0.0003,3540,0.2,-0.00575554818206001,12.296720737963915,0.9146630167961121,-1.6038637988269329,1.5216991901397705
5206,729088,151.19208832,756.85,356,140,0.03658537,0.350830078125,0.3689415156841278,0.0003,3550,0.2,0.0006083577813114971,5.455932176671922,0.05366778373718262,-1.5971124675124884,6.10359525680542
5223,731136,151.10924393000002,757.12,357,139,0.024892591,0.348291015625,0.3729119896888733,0.0003,3560,0.2,-0.001496116688940674,5.216326835937798,0.2344973087310791,-1.6222852118313313,0.3700580596923828
5240,733184,151.97140646000003,759.91,358,139,0.027138386,0.3294921875,0.3709533214569092,0.0003,3570,0.2,-0.003975247105699964,5.431004031328484,0.1798343062400818,-1.624279249086976,5.836028099060059
5257,735232,151.9156552,759.55,359,139,0.013760686,0.229052734375,0.37089264392852783,0.0003,3580,0.2,-0.008706280137994326,9.539076317660511,0.9071575999259949,-1.617866125702858,0.40790772438049316
5277,737280,157.44020165999999,773.37,360,139,0.012725994,0.125,0.3715163469314575,0.0003,3590,0.2,-0.00813947911374271,15.868275113776326,0.9441737532615662,-1.6201526619493962,11.674681663513184
5295,739328,155.72561093,766.71,361,139,0.024978502,0.228369140625,0.37299567461013794,0.0003,3600,0.2,-0.0023401919374009595,16.441255567222832,0.922822117805481,-1.631473970785737,2.287742853164673
5312,741376,153.42736783,759.94,362,139,0.023052271,0.1669921875,0.3731290102005005,0.0003,3610,0.2,-0.012617570158909075,18.004002103209494,0.9030539989471436,-1.6398028541356324,10.422473907470703
5330,743424,154.15316908000003,762.34,363,139,0.01135925,0.17880859375,0.3732492923736572,0.0003,3620,0.2,-0.0049015217227861285,23.0877008959651,0.9346277713775635,-1.6437699697911738,22.572154998779297
5348,745472,154.13211108000002,762.49,364,139,0.027153533,0.31669921875,0.3720647692680359,0.0003,3630,0.2,-0.006946192824398167,20.514342663995922,0.9151553511619568,-1.6381411403417587,19.596538543701172
5366,747520,156.87089774,767.44,365,139,0.030414885,0.356494140625,0.3714825510978699,0.0003,3640,0.2,-0.0020162061700830236,7.295644061639905,-0.24950015544891357,-1.6284840360283852,1.1615121364593506
5383,749568,162.95555545,783.51,366,139,0.025688892,0.325390625,0.36923491954803467,0.0003,3650,0.2,-0.00392792001075577,5.639243623055518,0.100047767162323,-1.61218688711524,0.49678850173950195
5401,751616,163.54520979,786.0,367,139,0.032745868,0.325390625,0.36863481998443604,0.0003,3660,0.2,-0.00018498990102671086,12.273846283182502,0.9171841740608215,-1.5956673931330443,5.211010932922363
5419,753664,165.35450623,789.06,368,139,0.017966833,0.242822265625,0.3693349063396454,0.0003,3670,0.2,-0.006876777164870873,24.84468592479825,0.9120698571205139,-1.590057799220085,45.417449951171875
5436,755712,163.48285722999998,786.71,369,139,0.024154002,0.324169921875,0.3732260465621948,0.0003,3680,0.2,-0.009822097944561393,5.553210169170052,0.013917088508605957,-1.619737396016717,2.555251121520996
5454,757760,163.45459243,787.44,370,138,0.02525938,0.26884765625,0.3738190233707428,0.0003,3690,0.2,-0.006013623299077153,17.54380357870832,0.9042125940322876,-1.6392709609121083,5.97809362411499
5472,759808,167.57300504,796.7,371,138,0.020885987,0.310498046875,0.3745793402194977,0.0003,3700,0.2,-0.006104311210219748,5.758190333191306,0.1288905143737793,-1.638951502367854,0.272535502910614
5489,761856,165.94841149,792.07,372,138,0.026039224,0.303369140625,0.37255531549453735,0.0003,3710,0.2,-0.00393765219632769,5.450681519228965,0.1504809856414795,-1.6250659998506307,2.1807312965393066
5507,763904,165.94416046999999,792.74,373,138,0.02157295,0.199609375,0.3730633556842804,0.0003,3720,0.2,-0.0102271056472091,13.58502545915544,0.9459689259529114,-1.6196095619350672,3.9810431003570557
5524,765952,167.47438727,794.19,374,138,0.03019206,0.306787109375,0.37071728706359863,0.0003,3730,0.2,-0.008529518917202949,6.602267343364656,-0.08416533470153809,-1.6068441458046436,5.7284321784973145
5542,768000,172.49275543,803.63,375,138,0.025567913,0.28544921875,0.36987024545669556,0.0003,3740,0.2,-0.005978148969006725,5.879976733680815,0.14015179872512817,-1.5844894997775554,2.5752809047698975
5559,770048,179.23883464,818.76,376,138,0.025858259,0.286083984375,0.3705657124519348,0.0003,3750,0.2,-0.0068357858865056185,5.698799725528806,0.1882440447807312,-1.5860916189849377,5.732475280761719
5577,772096,183.14919583,828.78,377,138,0.017141761,0.26552734375,0.3712221384048462,0.0003,3760,0.2,-0.008196470548864455,5.0563061441294845,0.086861252784729,-1.5967830609530211,0.5620205402374268
5594,774144,179.23488275,819.95,378,138,0.015255064,0.16044921875,0.3709268569946289,0.0003,3770,0.2,-0.008133410615846515,11.945590414851903,0.9603177905082703,-1.5980235815048218,5.7089457511901855
5612,776192,183.21142151,825.25,379,138,0.017556878,0.191796875,0.3736882209777832,0.0003,3780,0.2,-0.010686840032576583,8.219474267400802,0.8887782692909241,-1.609930343925953,2.636776924133301
5630,778240,176.61029845999997,811.75,380,138,0.023970617,0.238525390625,0.3752133846282959,0.0003,3790,0.2,-0.0110135177441407,12.1312869573012,0.9268261194229126,-1.6347255311906337,10.636242866516113
